string_external_id,abundance
YDR158W,18361.30696
YDR159W,338.777852
YDR161W,1629.891555
YDR162C,521.1317
YDR164C,639.376549
YDR165W,5909.607347
YDR166C,3398.673106
YDR167W,3367.639559
YDR168W,10226.00296
YDR169C,639.376549
YDR170C,3671.414453
YDR170W-A,2914.868826
YDR171W,1471.635869
YDR172W,78851.47188
YDR173C,2721.966881
YDR174W,19013.75986
YDR175C,3148.825924
YDR176W,2467.066327
YDR177W,8939.948348
YDR178W,7920.523746
YDR179C,357.977413
YDR179W-A,258.915893
YDR180W,3313.279871
YDR181C,768.102769
YDR182W,582.59356
YDR183W,2253.48995
YDR184C,845.818925
YDR185C,672.127009
YDR186C,194.711698
YDR189W,5782.497207
YDR190C,11620.56742
YDR191W,376.921209
YDR194C,10293.73198
YDR195W,7449.896637
YDR196C,1655.885285
YDR197W,2144.790022
YDR198C,768.102769
YDR200C,376.921209
YDR201W,639.376549
YDR202C,2858.475365
YDR205W,1069.225892
YDR207C,216.634494
YDR210W,13112.90071
YDR211W,33849.16986
YDR213W,752.325536
YDR214W,13939.2416
YDR217C,400.270146
YDR219C,1363.727534
YDR221W,9755.80372
YDR222W,1010.900703
YDR226W,122594.5437
YDR228C,2803.533476
YDR229W,2835.839687
YDR232W,22578.16261
YDR233C,37104.80191
YDR234W,7351.961801
YDR235W,1730.468721
YDR236C,830.424217
YDR238C,26000.37041
YDR239C,154.72696
YDR240C,360.765217
YDR244W,2071.549859
YDR245W,6278.43555
YDR246W,3126.736997
YDR247W,783.798887
YDR248C,503.708466
YDR251W,299.519102
YDR252W,1822.452778
YDR254W,606.198294
YDR256C,622.843006
YDR257C,4011.051031
YDR258C,2993.362505
YDR259C,1350.090109
YDR261C,2408.222476
YDR262W,4845.817038
YDR264C,4071.946074
YDR266C,1910.557947
YDR267C,5637.570925
YDR268W,672.127009
YDR272W,13731.19234
YDR275W,921.77596
YDR279W,2337.128179
YDR280W,4802.930574
YDR283C,279.403257
YDR284C,3037.98376
YDR285W,390.972799
YDR288W,2537.216686
YDR289C,3930.301472
YDR291W,258.915893
YDR292C,1997.652247
YDR293C,1098.088258
YDR294C,13112.90071
YDR295C,1498.298948
YDR296W,2606.882407
YDR297W,54278.12646
YDR298C,32362.508
YDR299W,15422.35445
YDR300C,10429.60478
YDR301W,639.376549
YDR303C,1753.188162
YDR305C,1923.060261
YDR308C,1390.900226
YDR309C,1126.761005
YDR310C,148.811243
YDR311W,5145.399624
YDR312W,1350.090109
YDR313C,194.711698
YDR314C,78.623531
YDR316W,503.708466
YDR318W,951.715802
YDR320C,768.102769
YDR320C-A,966.596862
YDR322C-A,4590.281414
YDR322W,7696.481883
YDR323C,768.102769
YDR324C,5436.170202
YDR325W,1923.060261
YDR329C,1404.436492
YDR330W,6630.427668
YDR331W,1564.443453
YDR332W,172.147832
YDR333C,338.777852
YDR334W,655.803216
YDR335W,3497.215661
YDR337W,6964.269049
YDR338C,194.711698
YDR341C,20600.59149
YDR342C,7351.961801
YDR345C,37205.71654
YDR346C,45224.74275
YDR347W,2835.839687
YDR348C,1484.982463
YDR349C,148.811243
YDR352W,6348.357045
YDR353W,292122.3313
YDR354W,1758.86078
YDR356W,279.403257
YDR357C,589.437791
YDR358W,655.803216
YDR361C,4590.281414
YDR362C,1125.065735
YDR363W,1885.491266
YDR363W-A,5592.619267
YDR364C,1629.891555
YDR365C,655.803216
YDR367W,3421.779388
YDR368W,14148.25755
YDR369C,357.977413
YDR370C,1040.166157
YDR371W,3049.113264
YDR372C,1854.039425
YDR373W,7157.301963
YDR375C,1985.269522
YDR376W,1600.224297
YDR377W,14599.37886
YDR379C-A,861.143461
YDR379W,253.730922
YDR380W,6559.55429
YDR382W,601592.0887
YDR385W,78122.32947
YDR386W,299.519102
YDR388W,14599.37886
YDR389W,1417.940016
YDR390C,18815.79117
YDR391C,6024.121888
YDR392W,1707.568347
YDR393W,279.403257
YDR395W,16290.42639
YDR397C,2948.573282
YDR398W,33119.38278
YDR399W,36501.10171
YDR404C,6418.517997
YDR405W,2169.063186
YDR407C,258.915893
YDR408C,3910.193747
YDR409W,148.811243
YDR410C,2687.57228
YDR412W,2948.573282
YDR416W,2169.063186
YDR418W,50307.07261
YDR419W,1860.340468
YDR421W,319.300389
YDR422C,622.843006
YDR423C,622.843006
YDR424C,1308.967217
YDR425W,1797.084034
YDR427W,12445.9481
YDR430C,6139.314986
YDR432W,78656.49284
YDR434W,7523.610749
YDR436W,189.135227
YDR437W,752.325536
YDR439W,1390.900226
YDR440W,2156.935194
YDR441C,936.775973
YDR444W,2071.549859
YDR447C,30541.72658
YDR448W,1720.427389
YDR449C,7523.610749
YDR450W,48149.0314
YDR452W,319.300389
YDR453C,4824.359039
YDR454C,20507.28269
YDR456W,521.1317
YDR457W,357.977413
YDR458C,1253.62422
YDR460W,3049.113264
YDR461W,28940.58727
YDR462W,6278.43555
YDR463W,1308.967217
YDR465C,1603.793112
YDR469W,936.775973
YDR471W,22898.77261
YDR472W,8349.102512
YDR473C,432.397164
YDR474C,2132.627524
YDR476C,2120.447552
YDR477W,589.437791
YDR478W,172.147832
YDR479C,5040.259907
YDR480W,1308.967217
YDR481C,3060.232559
YDR482C,555.549057
YDR483W,13025.29661
YDR484W,3126.736997
YDR485C,357.977413
YDR486C,2108.249954
YDR487C,5458.435748
YDR488C,752.325536
YDR493W,279.403257
YDR495C,2265.485518
YDR496C,21522.19115
YDR498C,4910.36774
YDR499W,606.198294
YDR500C,19673.22572
YDR502C,22035.3073
YDR503C,299.519102
YDR505C,258.915893
YDR506C,589.437791
