internal_id,string_external_id,abundance
6883258,b2573,50.9
6883644,b3024,499
6883228,b2543,1.54
6884781,b4269,48.3
6884119,b3538,2.28
6882110,b1333,470
6884860,b4364,0.642
6881941,b1154,0.002
6883831,b3225,18.6
6881417,b0589,0.013
6883720,b3103,0.578
6884901,b4411,463
6883143,b2458,0.451
6882064,b1286,107
6882187,b1423,76.8
6884243,b3665,0.211
6882236,b1479,219
6883836,b3230,1317
6882638,b1897,29.9
6881248,b0405,3.29
6884681,b4159,0.477
6884540,b4013,113
6881525,b0716,0.627
6883736,b3125,35.1
6884797,b4295,44.3
6881587,b0786,3.3
6884348,b3789,9.17
6883303,b2626,0.008
6883006,b2307,0.801
6884477,b3936,470
6883846,b3240,0.264
6884211,b3632,2.04
6884087,b3505,0.268
6884082,b3499,16.6
6883310,b2633,2.66
6882651,b1916,3.08
6881713,b0913,0
6884492,b3952,0.569
6881244,b0401,1.37
6882201,b1439,0.312
6881324,b0482,2.11
6882131,b1355,0.09
6882653,b1918,10.1
6881748,b0948,14.3
6881825,b1033,104
6882591,b1850,654
6884909,b4455,0.22
6884293,b3721,0
6881256,b0413,71.5
6884500,b3960,92.5
6883763,b3154,2.23
6882733,b2017,14.8
6882226,b1467,2.17
6883215,b2530,788
6881363,b0527,0
6881842,b1050,0
6881928,b1137,0.025
6884399,b3850,72.2
6884465,b3924,96.2
6881388,b0557,38.3
6884299,b3727,45.4
6882981,b2282,14.5
6884644,b4121,0
6883625,b3001,280
6882734,b2018,0
6883441,b2788,0.06
6882615,b1874,15.4
6883313,b2636,0.25
6884449,b3906,0.058
6884850,b4354,40.3
6881513,b0702,0
6881369,b0533,0.004
6883034,b2335,0.195
6881646,b0845,0.443
6883579,b2946,8.63
6882501,b1760,44.3
6882145,b1377,12.8
6884954,b4528,0
6882076,b1298,6.81
6881234,b0389,217
6882049,b1271,26.8
6884802,b4300,0.066
6881784,b0985,0.321
6882048,b1270,19.9
6881392,b0564,0.604
6883795,b3188,0.002
6884162,b3582,0.059
6881783,b0984,0.35
6881211,b0363,0.163
6883033,b2334,0
6882299,b1547,0
6881840,b1048,204
6883346,b2686,0.037
6884058,b3473,1.24
6883775,b3166,5.41
6881451,b0624,1.08
6881094,b0226,25.8
6882399,b1654,559
6882156,b1388,0.581
6881332,b0490,6.29
6882008,b1225,16.3
6883982,b3391,0.957
6883830,b3224,0.019
6882618,b1877,0
6882108,b1331,0.26
6884192,b3613,3.4
6883702,b3085,0.163
6882990,b2291,9.57
6883510,b2870,15.2
6883941,b3348,58.3
6883600,b2968,0.004
6882159,b1391,0.108
6882470,b1729,78.6
6883189,b2504,1.79
6883122,b2437,0
6881312,b0470,10.6
6882678,b1947,2.01
6880989,b0112,86.3
6883115,b2430,0.104
6884074,b3491,0
6884323,b3751,1347
6883762,b3153,108
6883867,b3264,0.007
6881982,b1199,132
6882270,b1517,230
6882472,b1731,8.22
6884509,b3973,8.63
6882436,b1693,63.7
6884022,b3434,0.066
6883164,b2479,19.7
6881652,b0851,76.9
6882592,b1851,7.52
6882957,b2258,0
6883317,b2644,0.074
6881067,b0191,0.74
6882358,b1613,237
6884921,b4472,1.59
6881662,b0861,4.86
6884864,b4371,36.7
6884690,b4171,5.4
6882520,b1779,4285
6884593,b4067,88.7
6882409,b1664,3.2
6883852,b3248,11.7
6881298,b0456,60.0
6882947,b2248,0.349
6882903,b2201,0.5
6882606,b1865,1.08
6883558,b2922,388
